record_type,domain,graph_id,family_id,family_name,node_id,node_name,node_slug,node_implementation_state,node_directory,support_tier,maturity_state,supported_profiles,evidence_class,node_package_shape,dependency_count,declared_artifact_file_count,artifact_file_count,status_count,statuses,verification_gate_count,verification_gate_types,failure_mode_count,direct_accuracy_threshold,explanation_required,transfer_required,retention_check_days,relationship_type,dependency_id,dependency_name,dependency_slug
node,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,O1,joint_attention_turn_taking_and_response_readiness,o1-joint-attention-turn-taking-and-response-readiness,seeded,,,,,,,0,,,,,,,,,,,,,,,
node,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,O2,oral_language_comprehension_for_instructions_and_routines,o2-oral-language-comprehension-for-instructions-and-routines,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,O2,oral_language_comprehension_for_instructions_and_routines,o2-oral-language-comprehension-for-instructions-and-routines,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,O1,O1,o1
node,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,O3,oral_recount_explanation_and_sequence_language,o3-oral-recount-explanation-and-sequence-language,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,O,oral_language_and_listening,O3,oral_recount_explanation_and_sequence_language,o3-oral-recount-explanation-and-sequence-language,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,O2,O2,o2
node,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P1,book_handling_print_awareness_and_directionality,p1-book-handling-print-awareness-and-directionality,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P1,book_handling_print_awareness_and_directionality,p1-book-handling-print-awareness-and-directionality,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,O1,O1,o1
node,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P2,concept_of_word_spacing_and_text_tracking,p2-concept-of-word-spacing-and-text-tracking,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P2,concept_of_word_spacing_and_text_tracking,p2-concept-of-word-spacing-and-text-tracking,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P1,P1,p1
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P2,concept_of_word_spacing_and_text_tracking,p2-concept-of-word-spacing-and-text-tracking,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,O2,O2,o2
node,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P3,phonological_awareness,p3-phonological-awareness,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P3,phonological_awareness,p3-phonological-awareness,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,O2,O2,o2
node,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P4,alphabet_knowledge_and_letter_formation,p4-alphabet-knowledge-and-letter-formation,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P4,alphabet_knowledge_and_letter_formation,p4-alphabet-knowledge-and-letter-formation,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P1,P1,p1
dependency,ela_literacy,master_knowledge_graph,P,print_concepts_and_symbol_control,P4,alphabet_knowledge_and_letter_formation,p4-alphabet-knowledge-and-letter-formation,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P3,P3,p3
node,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR1,phoneme_grapheme_mapping,fr1-phoneme-grapheme-mapping,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR1,phoneme_grapheme_mapping,fr1-phoneme-grapheme-mapping,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P3,P3,p3
dependency,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR1,phoneme_grapheme_mapping,fr1-phoneme-grapheme-mapping,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P4,P4,p4
node,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR2,print_encoding_principle_and_bidirectional_mapping,fr2-print-encoding-principle-and-bidirectional-mapping,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR2,print_encoding_principle_and_bidirectional_mapping,fr2-print-encoding-principle-and-bidirectional-mapping,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,FR1,FR1,fr1
node,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR3,simple_pattern_decoding_and_encoding,fr3-simple-pattern-decoding-and-encoding,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR3,simple_pattern_decoding_and_encoding,fr3-simple-pattern-decoding-and-encoding,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,FR2,FR2,fr2
node,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR4,word_level_decoding_generalization,fr4-word-level-decoding-generalization,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR4,word_level_decoding_generalization,fr4-word-level-decoding-generalization,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,FR3,FR3,fr3
node,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR5,orthographic_consolidation_and_automatic_word_recognition,fr5-orthographic-consolidation-and-automatic-word-recognition,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR5,orthographic_consolidation_and_automatic_word_recognition,fr5-orthographic-consolidation-and-automatic-word-recognition,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,FR4,FR4,fr4
node,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR6,connected_text_fluency_and_tracking,fr6-connected-text-fluency-and-tracking,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR6,connected_text_fluency_and_tracking,fr6-connected-text-fluency-and-tracking,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,FR5,FR5,fr5
dependency,ela_literacy,master_knowledge_graph,F,foundational_decoding_and_encoding,FR6,connected_text_fluency_and_tracking,fr6-connected-text-fluency-and-tracking,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P2,P2,p2
node,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC1,literal_comprehension_of_shared_text,rc1-literal-comprehension-of-shared-text,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC1,literal_comprehension_of_shared_text,rc1-literal-comprehension-of-shared-text,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,O3,O3,o3
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC1,literal_comprehension_of_shared_text,rc1-literal-comprehension-of-shared-text,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P1,P1,p1
node,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC2,inferential_and_integrative_comprehension_of_shared_text,rc2-inferential-and-integrative-comprehension-of-shared-text,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC2,inferential_and_integrative_comprehension_of_shared_text,rc2-inferential-and-integrative-comprehension-of-shared-text,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,RC1,RC1,rc1
node,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC3,sentence_level_meaning_construction,rc3-sentence-level-meaning-construction,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC3,sentence_level_meaning_construction,rc3-sentence-level-meaning-construction,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,FR4,FR4,fr4
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC3,sentence_level_meaning_construction,rc3-sentence-level-meaning-construction,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,RC1,RC1,rc1
node,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC4,short_passage_integration_and_local_coherence,rc4-short-passage-integration-and-local-coherence,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC4,short_passage_integration_and_local_coherence,rc4-short-passage-integration-and-local-coherence,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,RC3,RC3,rc3
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC4,short_passage_integration_and_local_coherence,rc4-short-passage-integration-and-local-coherence,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,FR6,FR6,fr6
node,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC5,evidence_selection_from_text,rc5-evidence-selection-from-text,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC5,evidence_selection_from_text,rc5-evidence-selection-from-text,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,RC4,RC4,rc4
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC5,evidence_selection_from_text,rc5-evidence-selection-from-text,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,O3,O3,o3
node,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC6,evidence_explanation_and_text_grounded_response,rc6-evidence-explanation-and-text-grounded-response,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,RC6,evidence_explanation_and_text_grounded_response,rc6-evidence-explanation-and-text-grounded-response,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,RC5,RC5,rc5
node,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,R4,literary_structure_theme_and_character_analysis,r4-literary-structure-theme-and-character-analysis,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,R4,literary_structure_theme_and_character_analysis,r4-literary-structure-theme-and-character-analysis,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,RC6,RC6,rc6
node,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,R5,informational_structure_author_claim_and_source_use,r5-informational-structure-author-claim-and-source-use,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,R5,informational_structure_author_claim_and_source_use,r5-informational-structure-author-claim-and-source-use,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,RC6,RC6,rc6
node,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,R6,disciplinary_literacy_rhetorical_analysis_and_cross_text_synthesis,r6-disciplinary-literacy-rhetorical-analysis-and-cross-text-synthesis,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,R6,disciplinary_literacy_rhetorical_analysis_and_cross_text_synthesis,r6-disciplinary-literacy-rhetorical-analysis-and-cross-text-synthesis,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,R4,R4,r4
dependency,ela_literacy,master_knowledge_graph,R,reading_comprehension_and_analysis,R6,disciplinary_literacy_rhetorical_analysis_and_cross_text_synthesis,r6-disciplinary-literacy-rhetorical-analysis-and-cross-text-synthesis,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,R5,R5,r5
node,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,L1,sentence_formation_and_basic_conventions,l1-sentence-formation-and-basic-conventions,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,L1,sentence_formation_and_basic_conventions,l1-sentence-formation-and-basic-conventions,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,O3,O3,o3
dependency,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,L1,sentence_formation_and_basic_conventions,l1-sentence-formation-and-basic-conventions,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P4,P4,p4
node,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,L2,morphology_word_meaning_and_academic_vocabulary,l2-morphology-word-meaning-and-academic-vocabulary,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,L2,morphology_word_meaning_and_academic_vocabulary,l2-morphology-word-meaning-and-academic-vocabulary,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,FR4,FR4,fr4
dependency,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,L2,morphology_word_meaning_and_academic_vocabulary,l2-morphology-word-meaning-and-academic-vocabulary,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,RC3,RC3,rc3
node,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,L3,syntax_revision_and_style_control,l3-syntax-revision-and-style-control,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,L3,syntax_revision_and_style_control,l3-syntax-revision-and-style-control,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,L1,L1,l1
dependency,ela_literacy,master_knowledge_graph,L,language_conventions_and_vocabulary,L3,syntax_revision_and_style_control,l3-syntax-revision-and-style-control,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,L2,L2,l2
node,ela_literacy,master_knowledge_graph,W,writing_and_composition,W1,drawing_dictation_labeling_and_idea_capture,w1-drawing-dictation-labeling-and-idea-capture,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,W1,drawing_dictation_labeling_and_idea_capture,w1-drawing-dictation-labeling-and-idea-capture,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,O3,O3,o3
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,W1,drawing_dictation_labeling_and_idea_capture,w1-drawing-dictation-labeling-and-idea-capture,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,P4,P4,p4
node,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC1,sentence_planning_and_generation,wc1-sentence-planning-and-generation,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC1,sentence_planning_and_generation,wc1-sentence-planning-and-generation,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,L1,L1,l1
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC1,sentence_planning_and_generation,wc1-sentence-planning-and-generation,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,W1,W1,w1
node,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC2,sentence_transcription_and_execution,wc2-sentence-transcription-and-execution,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC2,sentence_transcription_and_execution,wc2-sentence-transcription-and-execution,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,WC1,WC1,wc1
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC2,sentence_transcription_and_execution,wc2-sentence-transcription-and-execution,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,FR4,FR4,fr4
node,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC3,paragraph_structure_and_coherence,wc3-paragraph-structure-and-coherence,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC3,paragraph_structure_and_coherence,wc3-paragraph-structure-and-coherence,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,WC2,WC2,wc2
node,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC4,source_integration_in_structured_response,wc4-source-integration-in-structured-response,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC4,source_integration_in_structured_response,wc4-source-integration-in-structured-response,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,WC3,WC3,wc3
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC4,source_integration_in_structured_response,wc4-source-integration-in-structured-response,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,RC6,RC6,rc6
node,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC5,multi_paragraph_development_and_coherence,wc5-multi-paragraph-development-and-coherence,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC5,multi_paragraph_development_and_coherence,wc5-multi-paragraph-development-and-coherence,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,WC4,WC4,wc4
node,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC6,genre_controlled_explanation_narrative_and_argument,wc6-genre-controlled-explanation-narrative-and-argument,seeded,,,,,,,3,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC6,genre_controlled_explanation_narrative_and_argument,wc6-genre-controlled-explanation-narrative-and-argument,seeded,,,,,,,3,,,,,,,,,,,,DEPENDS_ON,WC5,WC5,wc5
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC6,genre_controlled_explanation_narrative_and_argument,wc6-genre-controlled-explanation-narrative-and-argument,seeded,,,,,,,3,,,,,,,,,,,,DEPENDS_ON,R4,R4,r4
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC6,genre_controlled_explanation_narrative_and_argument,wc6-genre-controlled-explanation-narrative-and-argument,seeded,,,,,,,3,,,,,,,,,,,,DEPENDS_ON,R5,R5,r5
node,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC7,research_synthesis,wc7-research-synthesis,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC7,research_synthesis,wc7-research-synthesis,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,WC6,WC6,wc6
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC7,research_synthesis,wc7-research-synthesis,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,R6,R6,r6
node,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC8,attribution_and_citation_control,wc8-attribution-and-citation-control,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC8,attribution_and_citation_control,wc8-attribution-and-citation-control,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,WC7,WC7,wc7
dependency,ela_literacy,master_knowledge_graph,W,writing_and_composition,WC8,attribution_and_citation_control,wc8-attribution-and-citation-control,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,L3,L3,l3
node,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC1,cross_text_synthesis_and_source_coordination,ac1-cross-text-synthesis-and-source-coordination,seeded,,,,,,,2,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC1,cross_text_synthesis_and_source_coordination,ac1-cross-text-synthesis-and-source-coordination,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,R4,R4,r4
dependency,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC1,cross_text_synthesis_and_source_coordination,ac1-cross-text-synthesis-and-source-coordination,seeded,,,,,,,2,,,,,,,,,,,,DEPENDS_ON,R5,R5,r5
node,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC2,disciplinary_and_rhetorical_reading,ac2-disciplinary-and-rhetorical-reading,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC2,disciplinary_and_rhetorical_reading,ac2-disciplinary-and-rhetorical-reading,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,AC1,AC1,ac1
node,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC3,advanced_rhetorical_analysis_and_argument_synthesis,ac3-advanced-rhetorical-analysis-and-argument-synthesis,seeded,,,,,,,3,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC3,advanced_rhetorical_analysis_and_argument_synthesis,ac3-advanced-rhetorical-analysis-and-argument-synthesis,seeded,,,,,,,3,,,,,,,,,,,,DEPENDS_ON,AC2,AC2,ac2
dependency,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC3,advanced_rhetorical_analysis_and_argument_synthesis,ac3-advanced-rhetorical-analysis-and-argument-synthesis,seeded,,,,,,,3,,,,,,,,,,,,DEPENDS_ON,WC8,WC8,wc8
dependency,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC3,advanced_rhetorical_analysis_and_argument_synthesis,ac3-advanced-rhetorical-analysis-and-argument-synthesis,seeded,,,,,,,3,,,,,,,,,,,,DEPENDS_ON,L3,L3,l3
node,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC4,literary_interpretation_and_comparative_analysis,ac4-literary-interpretation-and-comparative-analysis,seeded,,,,,,,3,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC4,literary_interpretation_and_comparative_analysis,ac4-literary-interpretation-and-comparative-analysis,seeded,,,,,,,3,,,,,,,,,,,,DEPENDS_ON,R4,R4,r4
dependency,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC4,literary_interpretation_and_comparative_analysis,ac4-literary-interpretation-and-comparative-analysis,seeded,,,,,,,3,,,,,,,,,,,,DEPENDS_ON,WC6,WC6,wc6
dependency,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC4,literary_interpretation_and_comparative_analysis,ac4-literary-interpretation-and-comparative-analysis,seeded,,,,,,,3,,,,,,,,,,,,DEPENDS_ON,L3,L3,l3
node,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC5,intertextual_literary_argument,ac5-intertextual-literary-argument,seeded,,,,,,,1,,,,,,,,,,,,,,,
dependency,ela_literacy,master_knowledge_graph,A,advanced_secondary_and_ap_adjacent_literacy,AC5,intertextual_literary_argument,ac5-intertextual-literary-argument,seeded,,,,,,,1,,,,,,,,,,,,DEPENDS_ON,AC4,AC4,ac4
